
2	1500		18.455	19.741	19.697	19.588	19.779	19.575	19.542	19.531	19.543	19.376	19.430	19.398	19.603	19.582	19.444	
2	1750		26.040	27.493	23.668	26.012	22.686	26.167	27.714	23.738	26.158	23.836	25.772	27.348	24.102	25.962	27.328	
2	2000		37.915	38.621	38.760	38.729	38.885	39.252	39.167	39.047	39.615	39.340	38.835	39.238	38.954	38.994	38.963	
2	2200		52.724	50.666	54.736	52.299	51.973	53.966	51.440	55.264	52.675	55.215	52.743	54.973	52.074	52.182	53.531	
4	1500		9.755	10.400	11.797	10.872	10.342	10.404	10.180	11.618	10.723	10.232	9.714	10.049	11.697	11.320	10.301	
4	1750		13.811	15.888	16.164	13.436	15.030	16.277	12.563	15.563	16.109	13.014	15.298	15.757	12.637	14.900	16.726	
4	2000		20.418	23.584	21.167	23.475	21.322	23.370	21.677	24.574	20.279	23.288	20.719	23.960	20.860	23.683	21.348	
4	2200		34.020	29.411	33.629	29.791	34.579	30.200	32.885	29.880	34.288	30.496	33.466	31.161	33.655	30.708	33.001	
8	1500		5.976	6.079	6.550	5.751	5.630	6.328	6.448	5.640	6.091	6.304	6.595	5.925	6.095	6.324	6.565	
8	1750		7.830	8.268	8.220	8.132	8.833	9.324	9.464	8.946	8.665	8.508	8.577	8.645	8.485	8.630	8.465	
8	2000		13.715	14.540	14.945	13.328	14.624	13.887	14.269	15.143	12.698	14.608	15.457	12.972	14.412	15.405	12.617	
8	2200		20.184	19.276	20.610	19.987	18.828	20.337	20.525	18.745	18.897	18.797	18.762	20.762	19.581	19.934	18.795	
16	1500		3.280	3.268	3.290	3.297	3.137	3.295	3.274	3.306	3.333	3.288	3.264	3.261	3.287	3.188	3.279	
16	1750		4.779	4.860	4.775	4.706	4.802	4.823	4.858	4.866	4.808	4.872	4.813	4.905	5.037	4.850	4.754	
16	2000		8.203	8.055	7.899	7.994	8.018	8.066	7.911	8.009	7.979	8.244	8.054	8.116	8.193	8.150	8.017	
16	2200		11.287	11.123	10.806	11.310	10.950	11.016	11.416	11.127	10.974	11.258	11.047	11.295	10.894	10.959	11.245	
32	1500		1.636	1.656	1.654	2.033	1.664	1.629	1.648	1.822	1.663	1.626	1.656	1.637	1.780	1.643	2.124	
32	1750		2.430	2.421	2.445	2.451	2.456	2.472	2.472	2.379	2.390	2.399	2.427	2.473	2.464	2.423	2.498	
32	2000		4.034	4.113	4.104	5.502	4.085	4.129	4.012	4.139	3.977	4.065	4.037	4.442	4.154	5.369	4.076	
32	2200		6.103	5.597	5.808	7.274	5.784	5.996	8.029	6.407	5.856	5.684	5.667	6.464	5.875	5.773	7.790	
